"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-08","94",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-09","97",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-10","96",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-11","92",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-12","92",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-13","80",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-14","88",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-15","84",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-16","87",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-17","93",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-18","98",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-19","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-20","92",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-21","97",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-22","98",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-23","100",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-24","100",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-25","102",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-26","100",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-27","97",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-28","98",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-29","96",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-30","99",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-05-31","96",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-01","87",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-02","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-03","83",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-04","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-05","93",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-06","95",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-07","98",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-08","101",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-09","99",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-10","98",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-11","97",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-12","98",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-13","86",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-14","81",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-15","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-16","90",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-17","93",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-18","98",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-19","98",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-20","92",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-21","86",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-22","90",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-23","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-24","84",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-25","80",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-26","88",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-27","90",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-06-28","95",,
