,OS,Country,City,Provider,Gender,DOB,facebook_use,voter_reg,works_in_oil_gas,climate_change_importance,climate_change_worry,climate_change_personal_harm,climate_change_future_gen_harm,county
104,Android,US,Denver,T-Mobile,male,1986,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not too important,Not very worried,Only a little,A moderate amount,Jefferson County
105,Android,US,Arvada,Unknown,male,1988,Every day,Not registered to vote,No,Somewhat important,Very worried,A moderate amount,A moderate amount,I dont live in Colorado
106,iOS,US,Colorado Springs,Unknown,female,1999,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,A moderate amount,A great deal,El Paso County
107,Android,US,Colorado Springs,AT&T,male,1993,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,Only a little,A great deal,Garfield County
108,Android,US,Pueblo,T-Mobile,male,1985,Once a week,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Pueblo County
109,Android,US,Pueblo,Unknown,male,1979,Once a month,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Not at all worried,Not at all,Only a little,Pueblo County
110,Android,US,Fort Collins,AT&T,female,1949,Less than once a month,Not registered to vote,No,Somewhat important,Not very worried,A moderate amount,A great deal,Larimer County
111,Android,US,Denver,AT&T,female,1974,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Jefferson County
112,Android,US,Denver,Unknown,female,1991,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Larimer County
113,iOS,US,Denver,Unknown,male,1985,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Somewhat worried,A moderate amount,A great deal,Pueblo County
114,Web,US,Fort Collins,Unknown,female,1996,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Larimer County
115,iOS,US,Gill,Unknown,male,1981,Once a week,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Weld County
116,iOS,US,Denver,AT&T,female,1991,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A moderate amount,A great deal,Denver County
117,Android,US,Denver,AT&T,female,1988,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Denver County
118,Android,US,Westminster,Unknown,female,1990,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Adams County
119,Web,US,Durango,Unknown,male,1952,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,La Plata County
120,Android,US,Denver,Unknown,female,1961,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,La Plata County
121,iOS,US,Colorado Springs,Unknown,female,1957,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Somewhat worried,A moderate amount,A great deal,El Paso County
122,iOS,US,Parker,Unknown,female,1970,Once a week,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Douglas County
123,Android,US,Louisville,Unknown,male,1993,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Adams County
124,Android,US,Denver,T-Mobile,male,1992,Once a month,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Broomfield County
125,Web,US,Pueblo,Unknown,female,2003,Every day,"Registered to vote, registered as Democratic",Not sure,Extremely important,Very worried,A great deal,A great deal,Pueblo County
126,Web,US,Denver,Unknown,male,1991,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Somewhat worried,Only a little,A great deal,Denver County
127,Android,US,Pueblo,Unknown,male,1987,Once a week,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Denver County
128,Android,US,Denver,Sprint,male,1988,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Denver County
129,Android,US,Denver,T-Mobile,female,1992,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Denver County
130,Android,US,Parker,AT&T,female,1956,Once a month,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Douglas County
131,Web,US,Aurora,Unknown,male,1975,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Arapahoe County
132,Android,US,Littleton,Sprint,female,1988,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Arapahoe County
133,Android,US,Denver,T-Mobile,male,1973,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Weld County
134,Android,US,Denver,Verizon,female,1991,Every day,I don’t know,No,Extremely important,Very worried,A great deal,A great deal,Larimer County
135,Android,US,Arvada,T-Mobile,male,1983,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",Not sure,Extremely important,Very worried,A moderate amount,A great deal,Other
136,Android,US,Denver,Verizon,female,1962,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Jefferson County
137,iOS,US,Pueblo,Unknown,male,1995,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Pueblo County
138,Android,US,Denver,AT&T,male,1992,Once a week,Not registered to vote,No,Extremely important,Very worried,A great deal,A great deal,I don't live in colorado
139,Android,US,Denver,Unknown,male,1983,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A moderate amount,Denver County
140,iOS,US,Cedaredge,AT&T,female,1987,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A moderate amount,A great deal,Denver County
141,Web,US,Denver,Unknown,male,1987,Once a week,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Adams County
142,Web,US,Littleton,Unknown,male,1980,Every day,"Registered to vote, registered as Republican ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
143,Android,US,Arvada,Unknown,male,2000,Every day,Not registered to vote,Not sure,Extremely important,Very worried,A moderate amount,Only a little,Adams County
144,Web,US,Beulah,Unknown,male,1983,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
145,Web,US,Unknown,Unknown,male,1971,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Other
146,Web,US,Longmont,Unknown,male,1998,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
147,Android,US,Colorado Springs,Verizon,female,1985,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,El Paso County
148,Android,US,Denver,Unknown,male,1994,Every day,"Registered to vote, registered as Republican ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,Don’t know,A great deal,Denver County
149,iOS,US,Aurora,T-Mobile,female,1994,Every day,I don’t know,Not sure,Not at all important,Not at all worried,Not at all,Don’t know,El Paso County
150,Web,US,Littleton,Unknown,female,1974,Less than once a month,"Registered to vote, registered as Democratic",No,Not at all important,Not very worried,Only a little,Not at all,Denver County
151,Android,US,Denver,Verizon,male,1984,I never use Facebook or Instagram,Not registered to vote,Not sure,Not at all important,Somewhat worried,Don’t know,Don’t know,Other
152,Android,US,Del Norte,Unknown,female,1968,Once a week,"Registered to vote, registered as Republican ",No,Very important,Somewhat worried,A moderate amount,A great deal,Rio Grande
153,Web,US,Aurora,Unknown,female,1998,Once a week,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,Only a little,A moderate amount,Denver County
154,Web,US,Calhan,Unknown,male,1955,Every day,"Registered to vote, registered as Democratic","Yes, both myself and close friends or family members are employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,Jefferson County
