OS,Country,City,Provider,Gender,DOB,facebook_use,voter_reg,works_in_oil_gas,climate_change_importance,climate_change_worry,climate_change_personal_harm,climate_change_future_gen_harm,county
iOS,US,Denver,Unknown,male,2000,Every day,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Very important,Not very worried,A great deal,Only a little,Denver County
Web,US,Grand Junction,Unknown,female,1947,Less than once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not at all important,Not at all worried,Not at all,Not at all,Mesa County
Android,US,Steamboat Springs,Unknown,male,1984,Once a month,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Denver County
Android,US,Denver,T-Mobile,female,1958,Every day,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Denver County
Web,US,Longmont,Unknown,male,1983,Every day,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
Web,US,Longmont,Unknown,female,1994,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Somewhat worried,Only a little,A moderate amount,Denver County
Android,US,Aurora,AT&T,male,1975,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,Don’t know,A great deal,Arapahoe County
Web,US,Fort Collins,Unknown,female,1994,Once a week,"Registered to vote, registered as Republican ",No,Not too important,Not very worried,Not at all,Only a little,Weld County
Web,US,Fort Collins,Unknown,female,1976,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not too important,Not at all worried,Not at all,Not at all,Larimer County
Android,US,Aurora,Unknown,female,1982,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,Only a little,A great deal,Arapahoe County
Android,US,Commerce City,AT&T,female,1984,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Adams County
Web,US,Loveland,Unknown,female,1952,I never use Facebook or Instagram,"Registered to vote, registered as Republican ",No,Very important,Somewhat worried,A moderate amount,A great deal,Larimer County
Web,US,Calhan,Unknown,male,1980,Every day,"Registered to vote, registered as Democratic","Yes, both myself and close friends or family members are employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,Adams County
Web,US,Avon,Unknown,male,1980,Every day,"Registered to vote, registered as Democratic",No,Very important,Very worried,Only a little,A great deal,Denver County
Android,US,Brighton,Sprint,female,1997,Every day,"Registered to vote, registered as Republican ","Yes, I am employed in the oil and gas industry",Not at all important,Not at all worried,Not at all,Not at all,Adams County
Web,US,Del Norte,Unknown,female,1968,Every day,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,A moderate amount,A great deal,Rio Grande
Web,US,Englewood,Unknown,female,1980,Every day,"Registered to vote, registered as Republican ",No,Extremely important,Very worried,A moderate amount,A moderate amount,Jefferson County
Web,US,Gill,Unknown,male,1972,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not at all important,Not at all worried,Not at all,Not at all,Jefferson County
Web,US,Littleton,Unknown,female,1984,Once a month,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A moderate amount,Only a little,Arapahoe County
Web,US,Montrose,Unknown,male,1980,Every day,"Registered to vote, registered as Republican ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,El Paso County
Web,US,Lone Tree,Unknown,male,1975,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Montrose County
Android,US,Unknown,Unknown,female,1948,Every day,Not registered to vote,No,Extremely important,Very worried,A moderate amount,A great deal,Garfield County
Android,US,Unknown,Unknown,female,1987,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A moderate amount,A great deal,El Paso County
iOS,US,Unknown,Unknown,male,1995,Every day,"Registered to vote, registered as Democratic",No,Very important,Very worried,Don’t know,A great deal,N/A
Android,US,Unknown,T-Mobile,male,1983,Every day,Not registered to vote,No,Very important,Somewhat worried,A moderate amount,A great deal,Oklahoma. Not sure why I got this survey but it hits home hard.
iOS,US,Parker,Unknown,female,1999,Every day,Not registered to vote,No,Very important,Very worried,A great deal,A great deal,Arapahoe County
Android,US,Colorado Springs,Unknown,male,1972,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Very worried,A moderate amount,A moderate amount,El Paso County
Android,US,Colorado Springs,T-Mobile,female,1981,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A great deal,A great deal,El Paso County
iOS,US,Colorado Springs,T-Mobile,female,1965,Every day,Not registered to vote,Not sure,Extremely important,Not at all worried,A moderate amount,Only a little,El Paso County
Web,US,Colorado Springs,Unknown,female,1952,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,Don’t know,A great deal,El Paso County
Android,US,Colorado Springs,AT&T,male,1980,Every day,Not registered to vote,No,Very important,Somewhat worried,Only a little,A great deal,El Paso County
Web,US,Frisco,Unknown,female,1966,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,Only a little,A great deal,Summit County
Web,US,Granby,Unknown,female,1992,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Denver County
Android,US,Denver,Verizon,female,1987,Less than once a month,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A moderate amount,A great deal,Denver County
iOS,US,Denver,Unknown,female,1975,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Boulder County
Android,US,Denver,T-Mobile,female,1988,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Denver County
Android,US,Denver,Unknown,female,2001,Less than once a month,Not registered to vote,No,Extremely important,Very worried,A moderate amount,A great deal,Jefferson County
iOS,US,Denver,Verizon,female,1981,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Jefferson County
iOS,US,Gunnison,Verizon,female,1981,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,A moderate amount,A great deal,Gunnison
iOS,US,Denver,Unknown,female,1985,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Summit County
Android,US,Denver,Unknown,female,1970,Every day,Not registered to vote,No,Very important,Very worried,A moderate amount,A great deal,"I don't live in Colorado, I live in Wyoming"
Android,US,Denver,Unknown,male,1970,Once a week,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A great deal,A great deal,Douglas County
Android,US,Denver,Unknown,female,1968,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,None
iOS,US,Denver,Unknown,male,1968,Every day,Not registered to vote,No,Extremely important,Very worried,A great deal,A great deal,None
Android,US,Denver,Unknown,female,1960,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not too important,Not very worried,Don’t know,A moderate amount,Denver County
iOS,US,Denver,Unknown,male,1984,Once a week,Not registered to vote,"Yes, both myself and close friends or family members are employed in the oil and gas industry",Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Montezuma County
iOS,US,Denver,Unknown,female,2000,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A moderate amount,A great deal,Arapahoe County
Android,US,Denver,Unknown,female,1971,Once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,A great deal,A great deal,Pueblo County
Android,US,Denver,Unknown,male,1977,Every day,"Registered to vote, registered as Democratic",No,Very important,Very worried,A great deal,A great deal,None
Android,US,Denver,Unknown,female,2000,Once a week,Not registered to vote,No,Extremely important,Very worried,A great deal,A great deal,Other
Android,US,Denver,Unknown,female,2000,Every day,Not registered to vote,No,Extremely important,Somewhat worried,A great deal,A great deal,Denver County
Android,US,Denver,AT&T,female,1996,Once a month,"Registered to vote, registered as Republican ",No,Very important,Somewhat worried,A moderate amount,A great deal,Denver County
Android,US,Denver,AT&T,female,1985,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,Don’t know,A great deal,Denver County
Android,US,Denver,Unknown,female,1968,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Adams County
Android,US,Denver,Sprint,male,1981,Less than once a month,Not registered to vote,No,Extremely important,Very worried,A great deal,A great deal,Denver County
iOS,US,Denver,Verizon,female,1988,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Denver County
Android,US,Denver,Unknown,male,1954,Once a week,Not registered to vote,No,Extremely important,Very worried,A great deal,A great deal,Missouri
iOS,US,Denver,Sprint,female,1988,Every day,Not registered to vote,No,Very important,Somewhat worried,A moderate amount,A great deal,Adams County
Android,US,Denver,T-Mobile,male,1990,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Somewhat worried,A great deal,A great deal,El Paso County
Web,US,Denver,Unknown,male,1969,Every day,Not registered to vote,No,Extremely important,Very worried,A great deal,A great deal,Other
Web,US,Denver,Unknown,male,1972,Every day,"Registered to vote, registered as Democratic",No,Not at all important,Not at all worried,Not at all,Not at all,Denver County
iOS,US,Denver,Sprint,male,2000,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Denver County
iOS,US,Denver,Unknown,female,1963,Once a week,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Arapahoe County
Android,US,Denver,T-Mobile,male,1971,I never use Facebook or Instagram,Not registered to vote,No,Very important,Somewhat worried,Only a little,A great deal,Jefferson County
Android,US,Denver,Verizon,male,2002,Every day,I don’t know,No,Extremely important,Very worried,A moderate amount,A great deal,Other
Android,US,Denver,AT&T,female,1974,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Jefferson County
Web,US,Denver,Unknown,male,1974,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,A great deal,A great deal,Jefferson County
Unknown,US,Denver,Unknown,male,2000,I never use Facebook or Instagram,I don’t know,Not sure,Extremely important,Very worried,A moderate amount,A moderate amount,Denver County
Unknown,US,Denver,Unknown,female,1986,Once a week,"Registered to vote, registered as Democratic",Not sure,Extremely important,Very worried,A great deal,A great deal,Jefferson County
Android,US,Denver,T-Mobile,female,1967,Every day,"Registered to vote, registered as Democratic",No,Very important,Very worried,Don’t know,A moderate amount,Adams County
iOS,US,Denver,Unknown,male,1980,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,A moderate amount,A moderate amount,Denver County
Android,US,Denver,Sprint,male,1983,Once a week,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Adams County
iOS,US,Denver,Unknown,female,1946,I never use Facebook or Instagram,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Denver County
Android,US,Pueblo,AT&T,male,1990,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,Only a little,A great deal,Pueblo County
iOS,US,Pueblo,Unknown,male,1998,Every day,I don’t know,"Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,El Paso County
Android,US,Pueblo,AT&T,male,1985,Once a month,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Pueblo County
iOS,US,Pueblo,Unknown,male,1992,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Pueblo County
Android,US,Denver,Unknown,male,1977,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Adams County
iOS,US,Denver,T-Mobile,male,2000,Once a week,Not registered to vote,No,Very important,Somewhat worried,A great deal,A great deal,Denver County
Android,US,Denver,Verizon,male,1992,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",Not sure,Very important,Very worried,A great deal,A great deal,Larimer County
Web,US,Denver,Unknown,male,1965,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Boulder County
Android,US,Sterling,Unknown,female,1952,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,Not at all,A great deal,Jefferson County
Web,US,Thornton,Unknown,male,1978,Once a week,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,Don’t know,A great deal,Adams County
Web,US,Longmont,Unknown,male,1990,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Boulder County
iOS,US,Denver,Verizon,male,1987,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Not at all,Only a little,Denver County
iOS,US,Denver,T-Mobile,female,1982,Every day,"Registered to vote, registered as Democratic",No,Very important,Very worried,A great deal,A great deal,Missouri
Android,US,Denver,T-Mobile,male,1990,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,Arapahoe County
Android,US,Longmont,Unknown,male,1980,Every day,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,Douglas County
Android,US,Colorado City,AT&T,male,1983,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Somewhat worried,A great deal,A great deal,Pueblo County
Android,US,Arvada,T-Mobile,male,1984,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Not very worried,A great deal,A great deal,Jefferson County
Android,US,Arvada,T-Mobile,female,1960,Every day,Not registered to vote,No,Extremely important,Somewhat worried,A great deal,A great deal,Don't  live in  Colorado
Android,US,Arvada,T-Mobile,female,1959,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,A moderate amount,A great deal,Delta County
iOS,US,Arvada,T-Mobile,male,1960,I never use Facebook or Instagram,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Boulder County
Web,US,Arvada,Unknown,female,1965,Once a week,Not registered to vote,No,Somewhat important,Somewhat worried,Only a little,A great deal,Arapahoe County
Unknown,US,Erie,Unknown,male,2000,Every day,"Registered to vote, registered as Democratic",No,Very important,Very worried,A great deal,A great deal,Broomfield County
Android,US,Arvada,Unknown,male,1980,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,El Paso County
iOS,US,Aurora,T-Mobile,female,2001,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Arapahoe County
iOS,US,Fort Collins,AT&T,female,1990,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Larimer County
Web,US,Aurora,Unknown,male,1978,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Pueblo County
Android,US,Fort Collins,T-Mobile,female,1996,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Larimer County
Android,US,Fort Collins,T-Mobile,male,1993,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,A moderate amount,A great deal,Larimer County
Web,US,Fort Collins,Unknown,female,1955,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Larimer County
Android,US,Fort Collins,Unknown,male,1996,Once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Denver County
iOS,US,Aurora,Unknown,female,1976,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Arapahoe County
iOS,US,Commerce City,Unknown,female,1993,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Adams County
Web,US,Westminster,Unknown,male,1999,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,Only a little,A great deal,Adams County
Android,US,Boulder,Unknown,male,1970,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A moderate amount,A great deal,Denver County
Android,US,Fountain,Unknown,female,1967,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,El Paso County
iOS,US,Brighton,Unknown,male,1977,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,Only a little,Don’t know,Adams County
iOS,US,Edwards,Verizon,female,1981,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Eagle County
Web,US,Castle Rock,Unknown,male,1998,Every day,"Registered to vote, registered as Republican ","Yes, I am employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,Arapahoe County
iOS,US,Englewood,Unknown,female,1959,Every day,"Registered to vote, registered as Republican ",No,Very important,Somewhat worried,A great deal,A great deal,Arapahoe County
Android,US,Rifle,T-Mobile,female,1967,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,Only a little,Not at all,Garfield
Android,US,Littleton,Verizon,female,1965,Every day,"Registered to vote, registered as Republican ",No,Extremely important,Very worried,A great deal,A great deal,Arapahoe County
iOS,US,Littleton,Unknown,male,1946,I never use Facebook or Instagram,"Registered to vote, registered as Democratic","Yes, both myself and close friends or family members are employed in the oil and gas industry",Somewhat important,Not very worried,Not at all,A moderate amount,Arapahoe County
Android,US,Littleton,Unknown,male,1979,Once a week,Not registered to vote,No,Very important,Somewhat worried,A moderate amount,A great deal,Not in Colorado
Android,US,Greeley,Unknown,female,1994,Every day,I don’t know,No,Somewhat important,Somewhat worried,A great deal,A great deal,Weld County
Android,US,Greeley,Verizon,male,1986,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,A moderate amount,A great deal,Weld County
Android,US,Montrose,Verizon,female,1960,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Montrose County
Web,US,Littleton,Unknown,female,1933,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,A moderate amount,A great deal,Douglas County
Android,US,Unknown,Sprint,male,1973,Every day,Not registered to vote,No,Not too important,Not at all worried,Not at all,Not at all,Denver County
Android,US,Unknown,Unknown,male,1976,Every day,"Registered to vote, registered as Republican ",No,Very important,Somewhat worried,Only a little,A great deal,El Paso County
iOS,US,Denver,Unknown,female,1976,Every day,"Registered to vote, registered as Democratic",Not sure,Extremely important,Very worried,A moderate amount,A moderate amount,Denver County
Android,US,Denver,Unknown,male,1988,Every day,Not registered to vote,No,Extremely important,Very worried,A great deal,A great deal,None
iOS,US,Denver,Unknown,female,1988,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Weld County
Android,US,Akron,Viaero,female,1979,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Somewhat worried,Only a little,A great deal,Larimer County
Android,US,Denver,T-Mobile,male,1962,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,Only a little,Adams County
iOS,US,Grand Junction,Unknown,male,1986,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,A moderate amount,A great deal,Mesa County
Web,US,Denver,Unknown,male,1980,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,A moderate amount,A great deal,Douglas County
iOS,US,Aurora,Verizon,female,1991,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,A moderate amount,A great deal,Jefferson County
Android,US,Aurora,Verizon,female,1965,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,Not at all,Don’t know,None
iOS,US,Commerce City,Unknown,male,1997,Every day,"Registered to vote, registered as Republican ","Yes, I am employed in the oil and gas industry",Not too important,Not very worried,A great deal,Not at all,Denver County
Android,US,Trinidad,AT&T,female,1973,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,A moderate amount,A great deal,Las Animas
Android,US,Castle Rock,Verizon,male,1966,Every day,"Registered to vote, registered as Republican ",No,Very important,Very worried,A moderate amount,A moderate amount,Other
iOS,US,Montrose,AT&T,female,1980,Once a month,"Registered to vote, registered as Democratic",No,Not at all important,Somewhat worried,Only a little,Only a little,Montrose County
Android,US,Unknown,AT&T,female,1979,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,A moderate amount,A great deal,I don't live in Colorado
Android,US,Unknown,Verizon,female,1994,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, I am employed in the oil and gas industry",Very important,Somewhat worried,Only a little,A moderate amount,Denver County
Android,US,Unknown,Verizon,female,1993,Once a month,Not registered to vote,"Yes, both myself and close friends or family members are employed in the oil and gas industry",Somewhat important,Somewhat worried,A moderate amount,A great deal,Dont live in Colorado
iOS,US,Unknown,Unknown,female,1962,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,not in Colorado
Android,US,Unknown,Verizon,male,1977,Once a week,"Registered to vote, registered as Republican ",No,Extremely important,Very worried,A moderate amount,A great deal,Denver County
Android,US,Unknown,T-Mobile,female,1970,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,A moderate amount,A great deal,Weld County
Web,US,Littleton,Unknown,female,1965,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Not very worried,Only a little,A great deal,Montezuma County
Android,US,Littleton,Unknown,female,1991,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Jefferson County
iOS,US,Parker,Unknown,male,1999,Once a week,I don’t know,Not sure,Somewhat important,Somewhat worried,Only a little,A great deal,Weld County
iOS,US,Colorado Springs,Unknown,female,1987,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,A moderate amount,A moderate amount,El Paso County
Android,US,Colorado Springs,Unknown,male,2000,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Not very worried,Only a little,A moderate amount,El Paso County
iOS,US,Colorado Springs,Unknown,female,1958,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,El Paso County
Android,US,Colorado Springs,Verizon,female,1968,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,El Paso County
Web,US,Colorado Springs,Unknown,female,1995,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,El Paso County
Android,US,Colorado Springs,Unknown,male,1981,Once a week,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A great deal,A great deal,Montezuma County
Android,US,Denver,AT&T,male,1995,Less than once a month,"Registered to vote, registered as Democratic",No,Very important,Not very worried,Not at all,A great deal,Broomfield County
Android,US,Denver,Verizon,male,1994,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,A moderate amount,A moderate amount,Douglas County
iOS,US,Denver,Verizon,female,1988,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,A moderate amount,A great deal,Boulder County
Android,US,Denver,T-Mobile,male,2001,Less than once a month,Not registered to vote,Not sure,Extremely important,Very worried,A great deal,A great deal,Adams County
iOS,US,Denver,Unknown,female,1976,Every day,Not registered to vote,"Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,A moderate amount,A great deal,I live in Utah
Android,US,Denver,Unknown,female,1956,Every day,Not registered to vote,No,Very important,Somewhat worried,A moderate amount,A great deal,Other
iOS,US,Denver,Unknown,female,1976,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,A moderate amount,A great deal,Denver County
Android,US,Denver,Unknown,female,2001,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Somewhat worried,A moderate amount,A great deal,Morgan County
Android,US,Denver,Unknown,female,1974,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Arapahoe County
Web,US,Denver,Unknown,male,1993,Less than once a month,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,A moderate amount,A great deal,Denver County
Android,US,Denver,Unknown,male,1986,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,Not at all,A moderate amount,Jefferson County
iOS,US,Denver,Unknown,female,1997,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,Not at all,A moderate amount,Denver County
Android,US,Denver,Unknown,female,1963,Every day,"Registered to vote, registered as Republican ",No,Very important,Somewhat worried,A moderate amount,A moderate amount,Denver County
Web,US,Denver,Unknown,male,1985,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,A moderate amount,Only a little,La Plata County
iOS,US,Denver,Verizon,female,1988,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Jefferson County
iOS,US,Denver,Verizon,female,1984,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,Only a little,A great deal,Denver County
Android,US,Denver,Unknown,female,1980,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,A moderate amount,A great deal,Jefferson County
iOS,US,Denver,T-Mobile,female,1988,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,A moderate amount,A great deal,Jefferson County
iOS,US,Denver,Unknown,male,1978,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Denver County
Android,US,Denver,T-Mobile,female,1977,Every day,Not registered to vote,No,Very important,Very worried,A moderate amount,A great deal,Denver County
Android,US,Denver,T-Mobile,female,1976,Every day,Not registered to vote,No,Very important,Somewhat worried,A moderate amount,A great deal,Other
iOS,US,Grand Junction,Unknown,male,2001,Once a month,"Registered to vote, registered as Republican ","Yes, both myself and close friends or family members are employed in the oil and gas industry",Very important,Very worried,Only a little,A great deal,Mesa County
iOS,US,Denver,Unknown,female,1987,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Jefferson County
iOS,US,Denver,Verizon,male,1989,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,A great deal,A great deal,Jefferson County
iOS,US,Denver,Unknown,male,1982,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,Only a little,A great deal,Jefferson County
Android,US,Denver,Unknown,female,1965,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,A moderate amount,A great deal,Adams County
Web,US,Denver,Unknown,male,2000,Once a week,Not registered to vote,No,Very important,Somewhat worried,A moderate amount,A great deal,Denver County
Android,US,Sterling,Unknown,female,1998,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,A moderate amount,A great deal,Jefferson County
Web,US,Wray,Unknown,male,1951,I never use Facebook or Instagram,"Registered to vote, registered as Democratic",No,Very important,Very worried,A moderate amount,A great deal,washington
