,IUCN,IUCN Category,SPEC,Species,COU,Country,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
235,TOT_KNOWN,Total number of known species,BIRD,Birds,AUT,Austria,NBR,Number,0,Units,,,213.0,,
236,TOT_KNOWN_IND,Total number of indigenous known species,BIRD,Birds,AUT,Austria,NBR,Number,0,Units,,,213.0,,
237,ENDANGERED,Number of endangered species,BIRD,Birds,AUT,Austria,NBR,Number,0,Units,,,24.0,,
238,CRITICAL,Number of critically endangered species,BIRD,Birds,AUT,Austria,NBR,Number,0,Units,,,14.0,,
239,VULNERABLE,Number of vulnerable species,BIRD,Birds,AUT,Austria,NBR,Number,0,Units,,,28.0,,
240,THREATENED,Total number of threatened species,BIRD,Birds,AUT,Austria,NBR,Number,0,Units,,,66.0,,
241,ENDANGERED_IND,Number of endangered indigenous species,BIRD,Birds,AUT,Austria,NBR,Number,0,Units,,,24.0,,
242,CRITICAL_IND,Number of critically endangered indigenous species,BIRD,Birds,AUT,Austria,NBR,Number,0,Units,,,14.0,,
243,VULNERABLE_IND,Number of vulnerable indigenous species,BIRD,Birds,AUT,Austria,NBR,Number,0,Units,,,28.0,,
244,TOT_KNOWN,Total number of known species,BIRD,Birds,BEL,Belgium,NBR,Number,0,Units,,,198.0,,
245,TOT_KNOWN_IND,Total number of indigenous known species,BIRD,Birds,BEL,Belgium,NBR,Number,0,Units,,,178.0,,
246,ENDANGERED,Number of endangered species,BIRD,Birds,BEL,Belgium,NBR,Number,0,Units,,,15.0,,
247,CRITICAL,Number of critically endangered species,BIRD,Birds,BEL,Belgium,NBR,Number,0,Units,,,20.0,,
248,VULNERABLE,Number of vulnerable species,BIRD,Birds,BEL,Belgium,NBR,Number,0,Units,,,20.0,,
249,THREATENED,Total number of threatened species,BIRD,Birds,BEL,Belgium,NBR,Number,0,Units,,,55.0,,
