survey_id,survey_name,language,last_connection_date,week_of_last_connection,start_time_of_last_connectio,duration_of_connection_in_seconds,duration_of_connection_in_minutes,last_question_filled,number_of_connections,disposition,total_duration_in_sec,device,device_os,survey_link,person_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7
19244,DTP001,en,20210619,6,15:05:37,93,2,Q1_INTRO,1,2,93,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfLKjVZHaEY9FanAzoJgnplpIToIE%2FjLj7JODc259%2FZ4u,17578833,,,,,,,
46212,DTP001,en,20210616,3,08:39:50,96,2,Q1_INTRO,1,2,96,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfLwE5npS1cqZgjodXyq84rnteIfbtL4nBQUHE1cTkMkp,114483,,,,,,,
12596,DTP001,en,20210614,1,20:54:28,109,2,Q1_INTRO,1,2,109,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfH%2FxuSZzkzsVYDu1Ka6E8kxhFlLPd%2FkFSjGWoLju7DBU,2661432,,,,,,,
14413,DTP001,en,20210614,1,18:07:41,159,3,Q1_INTRO,1,2,159,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfFQPcES921b%2BoLGKeZ0GrZ8tbyVfCsFDkzgPr41yw%2F2B,76050,,,,,,,
82486,DTP001,en,20210614,1,18:41:31,181,3,Q1_INTRO,1,2,181,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfOOXsrRVYO634iYIMxkRCcHR%2Bgufrrkr0nathIZkixCJ,82720,,,,,,,
56852,DTP001,en,20210615,2,14:16:03,230,4,Q1_INTRO,1,2,230,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfAEH1Ubaoy8CmuyMoKxeXl2io5sgSn%2Bbx7bfCNddr6rY,2708126,,,,,,,
48869,DTP001,en,20210616,3,06:54:46,0,0,Q7,2,1,115,Desktop,Mac OS X,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfEwykqUPY15AMvxY9T1moGy%2Bc2y1%2FcUxVmBSqOsOhV3W,18478906,1,1,1,4,2,52,1
14334,DTP001,en,20210619,6,15:51:37,0,0,Q2,2,2,330,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfMkGXw4kDU%2BXOZxwT8QfPu73igGrHu5Uhwgm2l%2Bqr%2FHN,42671,1,4,1,3,,,
27698,DTP001,en,20210618,5,15:14:45,1,0,Q7,2,1,242,Desktop,Linux,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfFoZa%2F1w%2Br7YLbcekiLNPzm%2Bn%2FaMmoZTO2nFVBcWKUxw,2808934,1,3,1,2,3,63,1
24751,DTP001,en,20210615,2,09:56:06,267,4,Q7,1,1,267,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfKeeBDWUwffV9EoVU8ggjKncPzmNl%2B7P3XB5PVXRS4Dc,3834875,1,1,1,4,2,77,1
89773,DTP001,en,20210614,1,18:32:20,277,5,Q7,1,1,277,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfLvgnj8hRY92Wrff43p%2BsCoFle0fQJk59%2FOEDkSuFiqm,18219017,1,1,1,4,2,32,2
43136,DTP001,en,20210614,1,18:09:30,38,1,Q7,1,1,38,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfDJUoqIK8wnImX8QlWGxPm77TvM%2FY%2BJ7I66c0UPdkcLz,15601453,1,1,1,2,2,32,2
38167,DTP001,en,20210615,2,17:47:15,43,1,Q7,1,1,43,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfAOtEyUT8g6qdJSzy18pfkvZ5WX1FbZPVjKFIjHtzOUu,18408397,1,2,2,3,1,31,2
35166,DTP001,en,20210614,1,18:35:28,46,1,Q7,1,1,46,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfJMaxkkRYizdv1mCDDhHwAVwleW5nKUoku4fq3KtWYl7,15302323,1,2,1,3,4,24,2
90796,DTP001,en,20210615,2,17:49:10,46,1,Q7,1,1,46,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfELKcmBPNqJwIRimLqrqtbdE3ldjmT07Ov242%2FW3ouZ1,15289267,1,2,2,2,4,31,2
95637,DTP001,en,20210614,1,21:25:16,47,1,Q7,1,1,47,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfKokxysVSVjlDGlCPdTk%2BT%2BJhDCYEs4ziUeLRFZJ7Oo7,17953201,1,1,1,3,2,41,1
76905,DTP001,en,20210615,2,17:42:11,51,1,Q7,1,1,51,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfNdGXtls%2FgJnsX6X2A8e%2F10AB61m2dMgdAcCN3uIKCQv,18447101,1,1,2,2,2,29,1
27783,DTP001,en,20210614,1,16:39:34,52,1,Q7,1,1,52,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfJ0f7Khyzwj7x2G3GPeEOB0D7RAhSFwifXouU%2FmPGYXA,15310989,1,1,1,5,2,20,4
27381,DTP001,en,20210614,1,18:12:30,53,1,Q7,1,1,53,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfJWjCMnFoavf99vJU5%2Bm5LYfwiID%2BXd1nB25JzMp9U%2Fh,17575018,1,1,2,4,2,38,2
