,Province,Year,Scope 1 Total,Scope 1+2 Total,POP,GRP,Forest_Coverage_Rate,North,Mean_North_Winter_Temp
302,InnerMongolia,2010,490.62,387.57,2472.0,8199.9,20.0,1,-1.36
303,Beijing,2010,105.04,159.52,1962.0,14964.0,31.72,1,-1.36
304,Jilin,2010,202.65,196.16,2747.0,6410.5,38.93,1,-1.36
305,Sichuan,2010,304.46,303.22,8045.0,17224.8,34.31,0,-1.36
306,Tianjin,2010,139.15,149.79,1299.0,6830.8,8.24,0,-1.36
307,Ningxia,2010,97.92,93.36,633.0,1571.7,9.84,1,-1.36
308,Anhui,2010,271.44,241.57,5957.0,13249.8,26.06,0,-1.36
309,Shandong,2010,795.49,815.73,9588.0,33922.5,16.72,1,-1.36
310,Shanxi,2010,443.01,378.78,3574.0,8903.9,14.12,1,-1.36
311,Guangdong,2010,476.84,560.35,10441.0,45944.6,49.44,0,-1.36
312,Guangxi,2010,174.61,175.54,4610.0,8552.4,52.71,0,-1.36
313,Xinjiang,2010,169.46,169.25,2185.0,5360.2,4.02,1,-1.36
314,Jiangsu,2010,589.82,630.66,7869.0,41383.9,10.48,0,-1.36
315,Jiangxi,2010,151.89,158.03,4462.0,9383.2,58.32,0,-1.36
316,Hebei,2010,681.79,746.94,7194.0,18003.6,22.29,1,-1.36
317,Henan,2010,513.61,529.0,9405.0,22655.0,20.16,0,-1.36
318,Zhejiang,2010,361.12,386.85,5447.0,27399.9,57.41,0,-1.36
319,Hainan,2010,28.93,28.8,869.0,2020.5,51.98,0,-1.36
320,Hubei,2010,337.66,333.92,5728.0,16226.9,31.14,0,-1.36
321,Hunan,2010,262.15,281.18,6570.0,15574.3,44.76,0,-1.36
322,Gansu,2010,127.59,129.09,2560.0,3943.7,10.42,1,-1.36
323,Fujian,2010,201.08,199.2,3693.0,15002.5,63.1,0,-1.36
324,Guizhou,2010,192.42,159.05,3479.0,4519.0,31.61,0,-1.36
325,Liaoning,2010,458.76,496.07,4375.0,13896.3,35.13,1,-1.36
326,Chongqing,2010,145.42,161.51,2885.0,8065.3,34.85,0,-1.36
327,Shaanxi,2010,225.26,220.81,3735.0,9845.2,37.26,1,-1.36
328,Qinghai,2010,32.01,35.83,563.0,1144.2,4.57,1,-1.36
329,Heilongjiang,2010,224.86,223.17,3833.0,8308.3,42.39,1,-1.36
330,Shanghai,2011,201.49,233.99,2356.0,20009.7,9.41,0,-0.66
331,Yunnan,2011,209.16,194.49,4620.0,9523.1,47.5,0,-0.66
332,InnerMongolia,2011,616.55,476.12,2470.0,9458.1,20.0,1,-0.66
333,Beijing,2011,95.31,155.81,2024.0,17188.8,31.72,1,-0.66
334,Jilin,2011,234.43,228.55,2725.0,7734.6,38.93,1,-0.66
335,Sichuan,2011,308.65,312.9,8064.0,21050.9,34.31,0,-0.66
336,Tianjin,2011,154.29,164.16,1341.0,8112.5,8.24,0,-0.66
337,Ningxia,2011,139.84,115.8,648.0,1931.8,9.84,1,-0.66
338,Anhui,2011,294.09,262.92,5972.0,16284.9,26.06,0,-0.66
339,Shandong,2011,830.77,875.84,9665.0,39064.9,16.72,1,-0.66
340,Shanxi,2011,474.82,410.52,3562.0,10894.4,14.12,1,-0.66
341,Guangdong,2011,526.26,594.09,10756.0,53072.8,49.44,0,-0.66
342,Guangxi,2011,195.17,204.58,4655.0,10299.9,52.71,0,-0.66
343,Xinjiang,2011,206.39,203.88,2225.0,6532.0,4.02,1,-0.66
344,Jiangsu,2011,636.94,675.52,8023.0,48839.2,10.48,0,-0.66
345,Jiangxi,2011,165.33,174.39,4474.0,11584.5,58.32,0,-0.66
346,Hebei,2011,760.7,832.8,7232.0,21384.7,22.29,1,-0.66
347,Henan,2011,556.08,570.1,9461.0,26318.7,20.16,0,-0.66
348,Zhejiang,2011,382.71,415.26,5570.0,31854.8,57.41,0,-0.66
349,Hainan,2011,34.92,34.91,890.0,2463.8,51.98,0,-0.66
350,Hubei,2011,384.3,364.17,5760.0,19942.5,31.14,0,-0.66
351,Hunan,2011,291.88,314.57,6581.0,18915.0,44.76,0,-0.66
352,Gansu,2011,140.32,134.25,2552.0,4816.9,10.42,1,-0.66
353,Fujian,2011,238.14,235.75,3784.0,17917.7,63.1,0,-0.66
354,Guizhou,2011,212.56,184.42,3530.0,5615.6,31.61,0,-0.66
355,Liaoning,2011,471.24,514.62,4379.0,16354.9,35.13,1,-0.66
356,Chongqing,2011,166.61,185.61,2944.0,10161.2,34.85,0,-0.66
357,Shaanxi,2011,247.48,227.52,3765.0,12175.1,37.26,1,-0.66
358,Qinghai,2011,36.85,46.81,568.0,1370.4,4.57,1,-0.66
359,Heilongjiang,2011,254.79,251.82,3782.0,9935.0,42.39,1,-0.66
360,Shanghai,2012,195.93,248.41,2399.0,21305.6,9.41,0,-1.86
361,Yunnan,2012,215.82,231.21,4631.0,11097.4,47.5,0,-1.86
362,InnerMongolia,2012,635.17,779.39,2464.0,10470.1,20.0,1,-1.86
363,Beijing,2012,98.0,160.58,2078.0,19024.7,31.72,1,-1.86
364,Jilin,2012,229.94,275.2,2698.0,8678.0,38.93,1,-1.86
